state,total,aged,disabled,male,female,white,black,hispanic,other,less_than_65,between_65_to_74,greater_than_74,pct_aged,pct_disabled,pct_male,pct_female,pct_white,pct_black,pct_hispanic,pct_other,pct_less_than_65,pct_between_65_to_74,pct_greater_than_74
South Dakota,184567,166622,17945,88076,96490,169239,976,1641,12711,17945,97762,68860,90.3,9.7,47.7,52.3,91.7,0.5,0.9,6.9,9.7,53,37.3
Tennessee,1406240,1181549,224691,636719,769521,1171246,182254,16201,36537,224691,691594,489955,84,16,45.3,54.7,83.3,13,1.2,2.6,16,49.2,34.8
Texas,4386864,3850175,536689,2013013,2373851,2672053,493409,994884,226518,536689,2271199,1578977,87.8,12.2,45.9,54.1,60.9,11.2,22.7,5.2,12.2,51.8,36
Utah,427555,381282,46273,201106,226449,377671,2809,24236,22839,46273,221494,159789,89.2,10.8,47,53,88.3,0.7,5.7,5.3,10.8,51.8,37.4
Vermont,155077,134403,20675,73046,82031,144689,778,1098,8513,20675,78292,56110,86.7,13.3,47.1,52.9,93.3,0.5,0.7,5.5,13.3,50.5,36.2
Virginia,1575524,1382991,192532,711541,863982,1142284,285325,42717,105197,192533,789985,593007,87.8,12.2,45.2,54.8,72.5,18.1,2.7,6.7,12.2,50.1,37.6
Washington,1431948,1273469,158480,666096,765853,1189629,39665,57594,145061,158479,742046,531423,88.9,11.1,46.5,53.5,83.1,2.8,4,10.1,11.1,51.8,37.1
West Virginia,444287,365487,78800,211229,233059,421911,12634,2352,7391,78800,214641,150845,82.3,17.7,47.5,52.5,95,2.8,0.5,1.7,17.7,48.3,34
Wisconsin,1225485,1074696,150789,569765,655720,1086049,53874,25703,59860,150789,618086,456609,87.7,12.3,46.5,53.5,88.6,4.4,2.1,4.9,12.3,50.4,37.3
Wyoming,117393,104896,12497,57487,59906,106604,667,4971,5151,12497,63671,41226,89.4,10.6,49,51,90.8,0.6,4.2,4.4,10.6,54.2,35.1
